round,accuracy,f1,roc_auc
0,0.9341105043109484,0.9345403415329733,0.982317092890078
1,0.9347856528436256,0.9364448083596522,0.9857891211814929
2,0.9362759807157575,0.9382900204376169,0.9862810037884433
3,0.935110724359359,0.9369536591173027,0.9860923971597311
4,0.941962231690972,0.9432959215084604,0.9858015320917538
5,0.9415271359699133,0.9426666012847545,0.9852930592358158
6,0.9471033627398028,0.9483829722857994,0.9872764433885657
7,0.941302086459021,0.9423608621561762,0.9861544350036836
8,0.9401268279021384,0.9417233758774107,0.9860092048587376
9,0.9472984056492428,0.9481560925692695,0.9861544077416896
10,0.9453329732541159,0.9463348536248889,0.9850913721022504
